imdbid,bechdel_rating,title,year,binary,budget_2013,domgross_2013,intgross_2013,genres,A,B,C,averageRating,numVotes
453562,2,42,2013,FAIL,40000000,95020213.0,95020213.0,"Biography,Drama,Sport",Biography,Drama,Sport,7.5,78922
481499,3,"Croods, The",2013,FAIL,135000000,187168425.0,573068425.0,"Action,Adventure,Animation",Action,Adventure,Animation,7.2,179704
848537,3,Epic,2013,PASS,100000000,107518682.0,268418682.0,"Adventure,Animation,Family",Adventure,Animation,Family,6.7,96223
765446,3,Escape from Planet Earth,2013,PASS,40000000,57012977.0,66454811.0,"Adventure,Animation,Comedy",Adventure,Animation,Comedy,5.9,23602
790736,1,R.I.P.D.,2013,FAIL,130000000,33618855.0,79019947.0,"Action,Adventure,Comedy",Action,Adventure,Comedy,5.6,111456
993846,3,"Wolf of Wall Street, The",2013,FAIL,100000000,115702857.0,365702857.0,"Biography,Crime,Drama",Biography,Crime,Drama,8.2,1063014
816711,3,World War Z,2013,FAIL,190000000,202359711.0,539559711.0,"Action,Adventure,Horror",Action,Adventure,Horror,7.0,562866
848228,1,"Avengers, The",2012,FAIL,60878314,23727745.0,49296637.0,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,8.0,1202966
837562,3,Hotel Transylvania,2012,PASS,86244278,150484138.0,364480509.0,"Animation,Comedy,Family",Animation,Comedy,Family,7.1,208244
790724,1,Jack Reacher,2012,FAIL,60878314,81242857.0,220552732.0,"Action,Crime,Thriller",Action,Crime,Thriller,7.0,289077
401729,3,John Carter,2012,PASS,279025606,74128153.0,286917566.0,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,6.6,244662
454876,1,Life of Pi,2012,FAIL,121756628,126816653.0,616887080.0,"Adventure,Drama,Fantasy",Adventure,Drama,Fantasy,7.9,545045
443272,3,Lincoln,2012,PASS,65951507,184875236.0,276997302.0,"Biography,Drama,History",Biography,Drama,History,7.3,231819
485985,2,Red Tails,2012,FAIL,58849037,50606496.0,51102777.0,"Action,Drama,History",Action,Drama,History,5.9,32084
983193,1,"Adventures of Tintin, The",2011,FAIL,134639802,80361144.0,387342089.0,"Action,Adventure,Animation",Action,Adventure,Animation,7.3,204966
458339,1,Captain America: The First Avenger,2011,FAIL,144996710,182959443.0,383795703.0,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,6.9,685454
816462,3,Conan the Barbarian,2011,FAIL,20713816,39629760.0,81937729.0,"Action,Adventure,Fantasy",Action,Adventure,Fantasy,5.2,91585
409847,1,Cowboys &amp; Aliens,2011,FAIL,168817598,103818215.0,182188693.0,"Action,Adventure,Fantasy",Action,Adventure,Fantasy,6.0,198039
990407,1,"Green Hornet, The",2011,FAIL,113925987,102305579.0,236120048.0,"Action,Comedy,Crime",Action,Comedy,Crime,5.8,149889
993842,3,Hanna,2011,PASS,31070724,41695999.0,67675862.0,"Action,Drama,Thriller",Action,Drama,Thriller,6.8,181011
970179,3,Hugo,2011,FAIL,186424342,76500789.0,191637196.0,"Drama,Family,Fantasy",Drama,Family,Fantasy,7.5,288170
822847,1,Priest,2011,FAIL,62141447,30176535.0,87157549.0,"Action,Horror,Thriller",Action,Horror,Thriller,5.7,109616
448694,1,Puss in Boots,2011,FAIL,134639802,154587729.0,574795417.0,"Action,Adventure,Animation",Action,Adventure,Animation,6.6,135489
433035,1,Real Steel,2011,FAIL,113925987,88513562.0,303703179.0,"Action,Drama,Family",Action,Drama,Family,7.1,285918
873886,3,Red State,2011,PASS,4142763,1103455.0,1103455.0,"Action,Crime,Horror",Action,Crime,Horror,6.2,59810
472181,3,"Smurfs, The",2011,PASS,113925987,147704169.0,583162839.0,"Adventure,Animation,Comedy",Adventure,Animation,Comedy,5.4,78755
945513,1,Source Code,2011,FAIL,33142105,56664949.0,145440503.0,"Action,Drama,Mystery",Action,Drama,Mystery,7.5,458632
999913,3,Straw Dogs,2011,PASS,25892270,10692928.0,11655479.0,"Action,Drama,Thriller",Action,Drama,Thriller,5.8,31527
978764,3,Sucker Punch,2011,PASS,77676809,37691379.0,92961937.0,"Action,Adventure,Fantasy",Action,Adventure,Fantasy,6.0,220537
800369,3,Thor,2011,PASS,155353618,187491749.0,465363438.0,"Action,Adventure,Fantasy",Action,Adventure,Fantasy,7.0,699074
471042,1,Tower Heist,2011,FAIL,88033717,80832113.0,158947830.0,"Action,Comedy,Crime",Action,Comedy,Crime,6.2,126463
429493,0,"A-Team, The",2010,FAIL,117505503,82491105.0,189334662.0,"Action,Adventure,Thriller",Action,Adventure,Thriller,6.7,237723
980970,3,"Chronicles of Narnia: The Voyage of the Dawn Treader, The",2010,PASS,165575935,111509464.0,446720616.0,"Adventure,Family,Fantasy",Adventure,Family,Fantasy,6.3,132037
800320,3,Clash of the Titans,2010,FAIL,133528980,174351340.0,526867848.0,"Action,Adventure,Fantasy",Action,Adventure,Fantasy,5.8,259688
968264,3,"Conspirator, The",2010,FAIL,26705796,12325477.0,16992803.0,"Crime,Drama,History",Crime,Drama,History,6.9,26602
989757,0,Dear John,2010,FAIL,26705796,85474402.0,118960872.0,"Drama,Romance,War",Drama,Romance,War,6.3,130727
1013860,0,Dylan Dog: Dead of Night,2010,FAIL,21364637,1267498.0,6506276.0,"Action,Comedy,Crime",Action,Comedy,Crime,5.1,14239
977855,3,Fair Game,2010,PASS,53411592,12281992.0,27878177.0,"Biography,Drama,Thriller",Biography,Drama,Thriller,6.8,44344
