bechdel_rating,title,year,binary,budget_2013$,domgross_2013$,intgross_2013$,genres,averageRating,numVotes
2,42,2013,FAIL,40000000,95020213.0,95020213.0,"Biography,Drama,Sport",7.5,78922
3,"Book Thief, The",2013,PASS,19000000,21345525.0,62045525.0,"Drama,War",7.6,120663
3,"Croods, The",2013,FAIL,135000000,187168425.0,573068425.0,"Action,Adventure,Animation",7.2,179704
3,Epic,2013,PASS,100000000,107518682.0,268418682.0,"Adventure,Animation,Family",6.7,96223
3,Escape from Planet Earth,2013,PASS,40000000,57012977.0,66454811.0,"Adventure,Animation,Comedy",5.9,23602
1,"Incredible Burt Wonderstone, The",2013,FAIL,32000000,22537881.0,24255957.0,Comedy,5.9,68311
3,Man of Steel,2013,PASS,225000000,291045518.0,687999518.0,"Action,Adventure",7.1,656775
1,R.I.P.D.,2013,FAIL,130000000,33618855.0,79019947.0,"Action,Adventure,Comedy",5.6,111456
3,"Wolf of Wall Street, The",2013,FAIL,100000000,115702857.0,365702857.0,"Biography,Crime,Drama",8.2,1063014
3,World War Z,2013,FAIL,190000000,202359711.0,539559711.0,"Action,Adventure,Horror",7.0,562866
2,"Amazing Spider-Man, The",2012,FAIL,223220484,265866416.0,768984693.0,"Action,Sci-Fi",6.9,533738
1,"Avengers, The",2012,FAIL,60878314,23727745.0,49296637.0,"Action,Adventure,Sci-Fi",8.0,1202966
0,"Hobbit: An Unexpected Journey, The",2012,FAIL,253659641,307439106.0,1029557373.0,"Adventure,Fantasy",7.8,726881
3,Hotel Transylvania,2012,PASS,86244278,150484138.0,364480509.0,"Animation,Comedy,Family",7.1,208244
1,Jack Reacher,2012,FAIL,60878314,81242857.0,220552732.0,"Action,Crime,Thriller",7.0,289077
3,John Carter,2012,PASS,279025606,74128153.0,286917566.0,"Action,Adventure,Sci-Fi",6.6,244662
1,Life of Pi,2012,FAIL,121756628,126816653.0,616887080.0,"Adventure,Drama,Fantasy",7.9,545045
3,Lincoln,2012,PASS,65951507,184875236.0,276997302.0,"Biography,Drama,History",7.3,231819
2,Red Tails,2012,FAIL,58849037,50606496.0,51102777.0,"Action,Drama,History",5.9,32084
3,Silent Hill: Revelation 3D,2012,PASS,20292771,17786836.0,48646439.0,Horror,5.0,57518
1,"Adventures of Tintin, The",2011,FAIL,134639802,80361144.0,387342089.0,"Action,Adventure,Animation",7.3,204966
1,Captain America: The First Avenger,2011,FAIL,144996710,182959443.0,383795703.0,"Action,Adventure,Sci-Fi",6.9,685454
3,Conan the Barbarian,2011,FAIL,20713816,39629760.0,81937729.0,"Action,Adventure,Fantasy",5.2,91585
1,Cowboys &amp; Aliens,2011,FAIL,168817598,103818215.0,182188693.0,"Action,Adventure,Fantasy",6.0,198039
3,Drive,2011,FAIL,15535362,36312033.0,80840663.0,"Crime,Drama",7.8,530608
1,"Green Hornet, The",2011,FAIL,113925987,102305579.0,236120048.0,"Action,Comedy,Crime",5.8,149889
2,Hall Pass,2011,FAIL,37284868,46668987.0,86680344.0,"Comedy,Romance",5.8,115042
3,Hanna,2011,PASS,31070724,41695999.0,67675862.0,"Action,Drama,Thriller",6.8,181011
3,Hugo,2011,FAIL,186424342,76500789.0,191637196.0,"Drama,Family,Fantasy",7.5,288170
